month,index_name,value,index_source,change_vs_prior,notes
2022-01,RBI_CCS_Current_Situation,92.0,synthetic_baseline,,Post-holiday reset period
2022-01,RBI_CCS_Future_Expectations,118.0,synthetic_baseline,,Post-holiday reset period
2022-02,RBI_CCS_Current_Situation,92.1,synthetic_baseline,+0.1,
2022-02,RBI_CCS_Future_Expectations,118.1,synthetic_baseline,+0.1,
2022-03,RBI_CCS_Current_Situation,92.3,synthetic_baseline,+0.2,
2022-03,RBI_CCS_Future_Expectations,118.2,synthetic_baseline,+0.1,
2022-04,RBI_CCS_Current_Situation,92.5,synthetic_baseline,+0.2,
2022-04,RBI_CCS_Future_Expectations,118.4,synthetic_baseline,+0.2,
2022-05,RBI_CCS_Current_Situation,92.6,synthetic_baseline,+0.1,
2022-05,RBI_CCS_Future_Expectations,118.5,synthetic_baseline,+0.1,
2022-06,RBI_CCS_Current_Situation,92.6,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2022-06,RBI_CCS_Future_Expectations,118.6,synthetic_baseline,+0.1,Monsoon timing and inflation sensitivity
2022-07,RBI_CCS_Current_Situation,92.7,synthetic_baseline,+0.1,Monsoon timing and inflation sensitivity
2022-07,RBI_CCS_Future_Expectations,118.6,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2022-08,RBI_CCS_Current_Situation,92.9,synthetic_baseline,+0.2,
2022-08,RBI_CCS_Future_Expectations,118.7,synthetic_baseline,+0.1,
2022-09,RBI_CCS_Current_Situation,92.9,synthetic_baseline,+0.0,Festive confidence tailwind
2022-09,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.1,Festive confidence tailwind
2022-10,RBI_CCS_Current_Situation,93.0,synthetic_baseline,+0.1,Festive confidence tailwind
2022-10,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.0,Festive confidence tailwind
2022-11,RBI_CCS_Current_Situation,93.0,synthetic_baseline,+0.0,Festive confidence tailwind
2022-11,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.0,Festive confidence tailwind
2022-12,RBI_CCS_Current_Situation,93.0,synthetic_baseline,+0.0,
2022-12,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.0,
2023-01,RBI_CCS_Current_Situation,93.0,synthetic_baseline,+0.0,Post-holiday reset period
2023-01,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.0,Post-holiday reset period
2023-02,RBI_CCS_Current_Situation,93.1,synthetic_baseline,+0.1,
2023-02,RBI_CCS_Future_Expectations,118.8,synthetic_baseline,+0.0,
2023-03,RBI_CCS_Current_Situation,93.3,synthetic_baseline,+0.2,
2023-03,RBI_CCS_Future_Expectations,119.0,synthetic_baseline,+0.2,
2023-04,RBI_CCS_Current_Situation,93.5,synthetic_baseline,+0.2,
2023-04,RBI_CCS_Future_Expectations,119.2,synthetic_baseline,+0.2,
2023-05,RBI_CCS_Current_Situation,93.7,synthetic_baseline,+0.2,
2023-05,RBI_CCS_Future_Expectations,119.4,synthetic_baseline,+0.2,
2023-06,RBI_CCS_Current_Situation,93.7,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2023-06,RBI_CCS_Future_Expectations,119.4,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2023-07,RBI_CCS_Current_Situation,93.7,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2023-07,RBI_CCS_Future_Expectations,119.4,synthetic_baseline,+0.0,Monsoon timing and inflation sensitivity
2023-08,RBI_CCS_Current_Situation,93.7,synthetic_baseline,+0.0,
2023-08,RBI_CCS_Future_Expectations,119.3,synthetic_baseline,-0.1,
2023-09,RBI_CCS_Current_Situation,93.8,synthetic_baseline,+0.1,Festive confidence tailwind
2023-09,RBI_CCS_Future_Expectations,119.4,synthetic_baseline,+0.1,Festive confidence tailwind
2023-10,RBI_CCS_Current_Situation,93.8,synthetic_baseline,+0.0,Festive confidence tailwind
2023-10,RBI_CCS_Future_Expectations,119.4,synthetic_baseline,+0.0,Festive confidence tailwind
