category,month,seasonality_index,demand_driver,source_type,notes
Apparel,2022-01,86,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-01,91,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-01,96,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-01,90,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-01,88,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-01,109,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-01,99,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-01,88,post-holiday reset,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-02,90,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-02,88,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-02,97,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-02,96,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-02,89,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-02,93,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-02,98,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-02,89,wedding+valentine window,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-03,104,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-03,93,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-03,99,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-03,94,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-03,96,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-03,101,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-03,102,wedding+holi uplift,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-04,101,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-04,95,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-04,98,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-04,99,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-04,96,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-04,106,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-04,100,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-04,105,early summer / wedding demand,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-05,97,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-05,94,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-05,114,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-05,99,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-05,93,summer demand mix,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-06,88,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-06,90,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-06,96,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-06,91,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-06,87,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-06,102,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-06,96,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-06,88,monsoon onset softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-07,87,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Electronics,2022-07,88,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
FMCG,2022-07,97,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Beauty_Personal_Care,2022-07,92,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Home_Furnishing,2022-07,86,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Travel,2022-07,100,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
QSR_Food_Delivery,2022-07,97,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Jewelry,2022-07,86,monsoon softness,synthetic_baseline,Index 100 = long-run category monthly average
Apparel,2022-08,95,rakhi+regional festival prep,synthetic_baseline,Index 100 = long-run category monthly average
